,City,Cloud Coverage (%),Humidity (%),Lattitude,Longitude,Temperature (°F),Wind Speed (mph)
0,ushuaia,75,93,-54.81,-68.31,41.0,4.7
1,san quintin,20,66,17.54,120.52,91.4,9.17
2,upernavik,48,100,72.79,-56.15,25.71,12.77
3,tulsipur,0,48,27.53,82.41,91.59,11.65
4,kapaa,90,83,22.08,-159.32,77.2,19.46
5,chuy,0,95,-33.69,-53.46,50.01,8.41
6,new norfolk,40,66,-42.78,147.06,51.8,8.05
7,shimoda,0,73,34.7,138.93,72.68,11.41
8,aykhal,12,71,65.95,111.51,45.69,3.83
9,slave lake,40,52,55.28,-114.77,68.0,8.05
10,viedma,0,72,-40.81,-62.99,53.88,14.34
11,jamestown,76,44,-33.21,138.6,64.86,14.45
12,vila franca do campo,75,77,37.72,-25.43,60.8,8.05
13,avarua,20,69,-21.21,-159.78,82.4,6.93
14,masuda,75,56,34.68,131.85,72.45,4.7
15,hermanus,48,100,-34.42,19.24,45.51,3.6
16,bosaso,0,83,11.28,49.18,88.44,10.2
17,punta arenas,75,93,-53.16,-70.91,42.8,16.11
18,port elizabeth,1,73,39.31,-74.98,73.8,10.29
19,hithadhoo,0,100,-0.6,73.08,84.84,9.75
20,miri,24,85,10.31,9.75,72.51,4.61
21,lebu,56,94,8.96,38.73,46.41,3.38
22,castro,48,95,-42.48,-73.76,50.82,7.07
23,pisco,90,88,-13.71,-76.2,64.4,6.93
24,rikitea,68,100,-23.12,-134.97,75.84,16.8
25,gravdal,0,87,59.79,5.78,53.6,9.17
26,yellowknife,75,81,62.45,-114.38,48.2,8.05
27,carnarvon,0,72,-30.97,22.13,28.5,2.93
28,cape town,0,93,-33.93,18.42,46.4,1.12
29,narsaq,88,60,60.91,-46.05,41.0,9.17
30,tuktoyaktuk,90,98,69.44,-133.03,30.83,6.93
31,thompson,75,57,55.74,-97.86,51.8,10.29
32,kutum,0,74,14.2,24.66,66.75,4.83
33,tasiilaq,92,92,65.61,-37.64,33.54,54.16
34,hasaki,75,60,35.73,140.83,71.2,13.87
35,portland,90,42,45.52,-122.67,64.36,11.41
36,georgetown,20,94,6.8,-58.16,75.2,2.24
37,port moresby,0,66,-9.47,147.16,89.6,18.34
38,mange,80,90,8.93,-12.86,77.19,6.4
39,tamiahua,56,94,21.28,-97.45,79.98,7.07
40,vaini,0,71,15.34,74.49,81.96,3.6
41,iskateley,68,93,67.68,53.15,35.61,9.42
42,batagay,48,49,67.65,134.64,59.19,12.44
43,hobart,40,66,-42.88,147.33,51.8,8.05
44,mataura,92,98,-46.19,168.86,46.86,17.47
45,tuatapere,92,100,-46.13,167.69,47.13,22.06
46,meteti,80,100,8.5,-77.98,76.65,2.71
47,nelson bay,8,56,-32.72,152.14,68.0,3.36
48,bereznyky,0,75,50.86,27.48,58.38,10.76
49,nikolskoye,0,62,59.7,30.79,53.6,2.24
50,sangar,0,37,63.92,127.47,61.89,7.96
